"1	bc017.source.aa"
"2	bc018.source.aa"
"3	bc019.source.aa"
"4	bc020.source.aa"
"5	bc021.source.aa"
"6	bc022.source.aa"
"7	bc023.source.aa"
"8	bc024.source.aa"
"9	bc025.source.aa"
"10	bc026.source.aa"
"11	bc027.source.aa"
"12	bc028.source.aa"
"13	bc029.source.aa"
"14	bc030.source.aa"
"15	bc031.source.aa"
"16	bc032.source.aa"
"17	bc033.source.aa"
"18	bc034.source.aa"
"19	bc035.source.aa"
"20	bc036.source.aa"
"21	bc037.source.aa"
"22	bc038.source.aa"
"23	bc039.source.aa"
"24	bc040.source.aa"
"25	bc041.source.aa"
"26	bc042.source.aa"
"27	bc043.source.aa"
"28	bc044.source.aa"
"29	bc045.source.aa"
"30	bc046.source.aa"
"31	bc064.source.aa"
"32	bc065.source.aa"
"33	bc066.source.aa"
"34	bc067.source.aa"
"35	bc068.source.aa"
"36	bc069.source.aa"
"37	bc070.source.aa"
"38	bc071.source.aa"
"39	bc072.source.aa"
"40	bc073.source.aa"
"41	bc074.source.aa"
"42	bc075.source.aa"
"43	bc076.source.aa"
"44	bc077.source.aa"
"45	bc078.source.aa"
"46	bc079.source.aa"
"47	bc080.source.aa"
"48	bc081.source.aa"
"49	bc082.source.aa"
"50	bc083.source.aa"
"51	bc084.source.aa"
"52	bc085.source.aa"
"53	bc086.source.aa"
"54	bc087.source.aa"
"55	bc088.source.aa"
"56	bc089.source.aa"
"57	bc090.source.aa"
"58	bc091.source.aa"
"59	bc092.source.aa"
"60	bc093.source.aa"
"61	bc094.source.aa"
"62	bc095.source.aa"
"63	bc096.source.aa"
"64	bc097.source.aa"
"65	bc098.source.aa"
"66	bc099.source.aa"
"67	bc100.source.aa"
"68	bc101.source.aa"
"69	bc102.source.aa"
"70	bc103.source.aa"
"71	bc104.source.aa"
"72	bc105.source.aa"
"73	bc106.source.aa"
"74	bc107.source.aa"
"75	bc108.source.aa"
"76	bc109.source.aa"
"77	bc110.source.aa"
"78	bc111.source.aa"
"79	bc112.source.aa"
"80	bc113.source.aa"
"81	bc114.source.aa"
